N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
20;Кокур десертный Сурож, ликерное вино с ЗГУ «Крым» (специальное вино), выдержанное белое 2014;Ликерное;4680017723725;Массандра;;2019;2014;Сладкое;Белое;486;075;84;4.2000;https://rskrf.ru//goods/kokur-desertnyy-surozh-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2014/
21;Кокур десертный Сурож 2014;Ликерное;4680017723725;Кокур десертный Сурож -  Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2014;;Белое;398;075;83.97;4.1985;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-beloe/
22;Мадера Крымская, ликерное вино с ЗГУ «Крым» (специальное вино), выдержанное белое 2014;Ликерное;46880017723770;Массандра;;2019;2014;Сладкое;Белое;641;075;83.9;4.1950;https://rskrf.ru//goods/madera-krymskaya-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2014/
23;Порто Солнечной Долины, ликерное вино с ЗГУ «Крым» (специальное вино), белое ;Ликерное;4610015993240;Солнечная Долина;;2019;Без указания года;Сладкое;Белое;439;075;83.8;4.1900;https://rskrf.ru//goods/porto-solnechnoy-doliny-likernoe-vino-s-zgu-krym-spetsialnoe-vino-beloe-/
24;Мускатель Массандра черный 2015;Ликерное;4680017723992;Мускатель Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2015;;Красное;398;075;83.7;4.1850;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-krasnoe-muskatel-ma/
25;Derbend Мадера, ликерное вино выдержанное. Купаж 24- 2016;Ликерное;4600076115279;Derbend;"АО ""Дербентский коньячный комбинат""";2020;2016;Сладкое;Белое;860;075;83.67;4.1835;https://rskrf.ru//goods/derbend-madera-likernoe-vino-vyderzhannoe-kup-24-2016/
26;Вина Тамани Кагор 32, ликерное вино с ЗГУ «Кубань. Таманский полуостров» (специальное вино)  2018;Ликерное;4630037250466;Кубань-Вино;"ООО ""Кубань-Вино""";2020;2018;Сладкое;Красное;497;075;83.65;4.1825;https://rskrf.ru//goods/vina-tamani-kagor-32-likernoe-vino-s-zgu-kuban-tamanskiy-poluostrov-spetsialnoe-vino-2018/
27;Портвейн красный Южнобережный 2012;Ликерное;4680017724135;Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2012;;Красное;542;075;83.43;4.1715;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-krasno-d47f67/
28;Портвейн Крымский Солнечной долины, ликерное вино с ЗГУ «Крым» (специальное вино), выдержанное белое 2010;Ликерное;4610015993202;Солнечная Долина;;2019;2010;Сладкое;Белое;649;075;83.28;4.1640;https://rskrf.ru//goods/portveyn-krymskiy-solnechnoy-doliny-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-201/
29;Приват 2013;Ликерное;4610015993257;Солнечная Долина Приват;СОЛНЕЧНАЯ ДОЛИНА АО;2018;2013;;Красное;478;075;83.16;4.1580;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-beloe-porto-solnech/
